item_brut,type_item_brut,type_item,id_item,nom
0x1000,1,attaque,0,DUMMY
0x1001,1,attaque,1,DUMMY
0x1002,1,attaque,2,DUMMY
0x1003,1,attaque,3,Spin Pipe
0x1004,1,attaque,4,Yoo Who Cannon
0x1005,1,attaque,5,Bob-omb Blitz
0x1006,1,attaque,6,Goomba Storm
0x1007,1,attaque,7,Shy Guy Squad
0x1008,1,attaque,8,Green Shell
0x1009,1,attaque,9,DUMMY
0x100A,1,attaque,10,Koopa Corps
0x100B,1,attaque,11,DUMMY
0x100C,1,attaque,12,DUMMY
0x100D,1,attaque,13,Jump Helmet
0x100E,1,attaque,14,Super Bouncer
0x100F,1,attaque,15,DUMMY
0x1010,1,attaque,16,Mighty Meteor
0x1011,1,attaque,17,Fire Flower
0x1012,1,attaque,18,DUMMY
0x1013,1,attaque,19,Magic Window
0x1014,1,attaque,20,Magikoopa Mob
0x1015,1,attaque,21,Snack Basket
0x1016,1,attaque,22,DUMMY
0x1017,1,attaque,23,Broggy Bonker
0x1018,1,attaque,24,Falling Star
0x1019,1,attaque,25,DUMMY
0x101A,1,attaque,26,DUMMY
0x101B,1,attaque,27,DUMMY
0x101C,1,attaque,28,DUMMY
0x2000,2,consommable,0,Mushroom
0x2001,2,consommable,1,Super Mushroom
0x2002,2,consommable,2,Ultra Mushroom
0x2003,2,consommable,3,Max Mushroom
0x2004,2,consommable,4,1-Up Mushroom
0x2005,2,consommable,5,1-Up Deluxe
0x2006,2,consommable,6,Syrup Jar
0x2007,2,consommable,7,Supersyrup Jar
0x2008,2,consommable,8,Ultrasyrup Jar
0x2009,2,consommable,9,Max Syrup Jar
0x200A,2,consommable,10,Refreshing Herb
0x200B,2,consommable,11,Star Candy
0x200C,2,consommable,12,Nut
0x200D,2,consommable,13,Super Nut
0x200E,2,consommable,14,Ultra Nut
0x200F,2,consommable,15,Max Nut
0x2010,2,consommable,16,Heart Bean
0x2011,2,consommable,17,Special Bean
0x2012,2,consommable,18,Power Bean
0x2013,2,consommable,19,DUMMY
0x2014,2,consommable,20,DUMMY
0x2015,2,consommable,21,Retry Clock
0x2016,2,consommable,22,Hot Drumstick
0x2017,2,consommable,23,Fiery Drumstick
0x2018,2,consommable,24,TNT Drumstick
0x2019,2,consommable,25,DUMMY
0x3000,3,badge,0,Mushroom Badge
